1 Bedroom Apartment,Mouille Point,33 m²,R 1 999 999
3 Bedroom House,Claremont Upper,577 m²,R 7 750 000
3 Bedroom House,Stonehurst Mountain Estate,294 m²,R 4 550 000
3 Bedroom House,Claremont,751 m²,R 4 450 000
1 Bedroom Apartment,Sea Point,93 m²,R 2 399 000
5 Bedroom House,Southfield,809 m²,R 2 400 000
3.5 Bedroom Apartment,Sea Point,227 m²,R 7 950 000
3 Bedroom House,Lakeside,496 m²,R 1 895 000
3 Bedroom House,Pinelands,1 389 m²,R 3 495 000
Commercial Property,Claremont,170 m²,R 3 600 000
4 Bedroom House,Tamboerskloof,268 m²,R 6 595 000
4 Bedroom House,Observatory,357 m²,R 3 000 000
1 Bedroom Apartment,Kenilworth Upper,47 m²,R 1 499 000
2 Bedroom Apartment,Costa Da Gama,43 m²,R 750 000
2 Bedroom Apartment,Sea Point,139 m²,R 5 600 000
1 Bedroom Apartment,De Waterkant,60 m²,R 2 800 000
3 Bedroom House,Plumstead,495 m²,R 2 690 000
2 Bedroom Apartment,Sea Point,67 m²,R 5 200 000
Apartment,Bantry Bay,26 m²,R 925 000
Apartment,Sea Point,38 m²,R 1 925 000
2 Bedroom Apartment,Kenilworth,77 m²,R 1 595 000
2 Bedroom Apartment,Waterfront,115 m²,R 11 995 000
2 Bedroom House,De Waterkant,67 m²,R 8 300 000
3 Bedroom House,Lakeside,191 m²,R 2 395 000
1 Bedroom Apartment,Cape Town City Centre,56 m²,R 3 360 000
1 Bedroom Apartment,Newlands,46 m²,R 1 425 000
2 Bedroom Apartment,Observatory,75 m²,R 3 500 000
3 Bedroom House,Pinelands,818 m²,R 2 800 000
Vacant Land,Bonteheuwel,2 122 m²,R 1 500 000
Farm,Philadelphia,71 629 m²,R 5 449 000
2 Bedroom Apartment,Claremont,76 m²,R 1 975 000
Industrial Property,Maitland,114 m²,R 9 000
2 Bedroom House,De Waterkant,123 m²,R 12 650 000
2 Bedroom Apartment,Plumstead,102 m²,R 2 950 000
4 Bedroom House,Woodstock,138 m²,R 2 495 000
1 Bedroom Apartment,Muizenberg,34 m²,R 895 000
1 Bedroom Apartment,Foreshore,55 m²,R 3 000 000
1 Bedroom Apartment,Zonnebloem,57 m²,R 1 450 000
1 Bedroom Apartment,De Waterkant,65 m²,R 3 785 000
12 Bedroom House,Philippi,1 241 m²,POA
2 Bedroom House,Bo Kaap,90 m²,R 3 000 000
1 Bedroom Apartment,Green Point,46 m²,R 1 799 000
Apartment,Rondebosch,28 m²,R 1 195 000
2 Bedroom Apartment,Sea Point,166 m²,R 10 950 000
2 Bedroom Apartment,Green Point,90 m²,R 3 495 000
2 Bedroom Apartment,Observatory,75 m²,R 2 395 000
2 Bedroom Apartment,Salt River,95 m²,R 2 395 000
4 Bedroom House,Rondebosch East,503 m²,R 3 250 000
2 Bedroom House,Muizenberg,198 m²,R 1 265 000
3 Bedroom House,Claremont,459 m²,R 4 895 000
2 Bedroom Apartment,Pinelands,82 m²,R 1 595 000
2 Bedroom Apartment,Green Point,80 m²,R 3 650 000
3 Bedroom Townhouse,Plumstead,76 m²,R 1 450 000
2 Bedroom House,Muizenberg,198 m²,R 1 265 000
3 Bedroom Townhouse,Claremont,314 m²,R 5 295 000
3 Bedroom Townhouse,Constantia,95 m²,R 3 450 000
5 Bedroom House,Kenwyn,618 m²,R 2 450 000
3 Bedroom Apartment,Mouille Point,153 m²,R 13 750 000
1 Bedroom Apartment,Oranjezicht,49 m²,R 2 195 000
3 Bedroom Apartment,Pinelands,116 m²,R 1 850 000
2 Bedroom Apartment,Claremont,90 m²,R 2 690 000
3 Bedroom Apartment,Cape Town City Centre,160 m²,R 2 500 000
2 Bedroom House,Heathfield,160 m²,R 1 475 000
4 Bedroom House,Southfield,750 m²,R 2 295 000
0.5 Bedroom Apartment,Cape Town City Centre,37 m²,R 1 100 000
2 Bedroom Apartment,Mouille Point,98 m²,R 5 995 000
Commercial Property,Gardens,600 m²,R 15 000 000
4 Bedroom House,Newlands,625 m²,R 6 250 000
1 Bedroom Apartment,Wynberg,64 m²,R 1 100 000
3 Bedroom House,Claremont,377 m²,R 4 580 000
8 Bedroom House,Camps Bay,1 034 m²,R 65 000 000
3 Bedroom House,Muizenberg,255 m²,R 1 595 000
3 Bedroom Townhouse,Diep River,201 m²,R 1 750 000
2 Bedroom Apartment,Plumstead,66 m²,R 1 195 000
1 Bedroom Apartment,Cape Town City Centre,73 m²,R 1 995 000
1 Bedroom Apartment,Cape Town City Centre,52 m²,R 1 450 000
Apartment,Cape Town City Centre,41 m²,R 2 207 850
3 Bedroom House,Pinelands,1 145 m²,R 2 950 000
3 Bedroom House,Pinelands,1 145 m²,R 2 950 000
1 Bedroom Apartment,Woodstock,52 m²,R 1 890 000
2 Bedroom Apartment,Sea Point,97 m²,R 2 990 000
1 Bedroom Apartment,De Waterkant,65 m²,R 2 430 000
3 Bedroom Apartment,Sea Point,168 m²,R 6 550 000
3 Bedroom Townhouse,Lakeside,125 m²,R 2 200 000
1 Bedroom Apartment,Cape Town City Centre,46 m²,R 2 150 000
