bedrooms,type,location,area,bathrooms,parking,price
4.0,house,Lakeside,724.0,3,3,2999000.0
2.0,apartment,Sea Point,80.0,2,1,4295000.0
2.0,apartment,Rondebosch,77.0,2,2,2795000.0
3.0,house,Claremont Upper,536.0,2,2,7295000.0
3.0,house,Belhar,95.0,1,1,750000.0
2.0,apartment,Sea Point,124.0,2,2,5995000.0
2.0,apartment,Gardens,150.0,2,2,4500000.0
4.0,house,Lakeside,724.0,3,3,2999000.0
3.0,house,Claremont,321.0,1,3,3395000.0
3.0,house,Sea Point,153.0,3,1,5495000.0
1.0,apartment,Cape Town City Centre,43.0,1,1,1795000.0
2.0,house,Plumstead,490.0,1.5,4,2350000.0
4.0,house,Claremont,526.0,4,2,5750000.0
4.0,house,Oranjezicht,918.0,4,2,22000000.0
2.0,apartment,Rondebosch,75.0,2,1,2999999.0
4.0,house,Claremont Upper,1.0,4,9,20000000.0
3.0,house,Tokai,1.0,3,2,3795000.0
4.0,house,Claremont,526.0,4,2,5750000.0
3.0,house,Seawinds,261.0,1,4,720000.0
3.0,house,Kirstenhof,74.0,2,1,1675000.0
6.0,house,Clifton,499.0,4,2,16900000.0
5.0,house,Camps Bay,734.0,5,5,40000000.0
2.0,house,Plumstead,69.0,1,1,1395000.0
4.0,house,Plumstead,446.0,2,3,2395000.0
2.0,apartment,Cape Town City Centre,88.0,2,2,3450000.0
1.0,apartment,Mouille Point,70.0,1,1,4750000.0
2.0,house,Lakeside,142.0,1,1,2150000.0
4.0,house,Crawford,441.0,3,2,3200000.0
2.0,apartment,Sea Point,75.0,2,1,2960000.0
4.0,house,Fresnaye,723.0,4.5,5,95000000.0
1.0,apartment,Foreshore,55.0,1,1,2850000.0
1.0,apartment,Foreshore,55.0,1,1,2600000.0
3.0,house,Kirstenhof,473.0,2,3,2650000.0
4.0,house,Maitland,357.0,1,1,1730000.0
1.0,apartment,Green Point,63.0,1,1,4399000.0
5.0,house,Meadowridge,987.0,3.5,6,3950000.0
2.0,apartment,Camps Bay,97.0,2,1,4590000.0
4.0,house,Rondebosch,976.0,3.5,8,10250000.0
1.0,apartment,Plumstead,42.0,1,1,950000.0
2.0,apartment,Waterfront,121.0,2.5,2,9995000.0
2.0,apartment,Gardens,71.0,1,1,3200000.0
4.0,house,Rondebosch,991.0,3,6,8900000.0
2.0,apartment,Gardens,59.0,1,1,2400000.0
2.0,apartment,Gardens,59.0,1,1,2400000.0
3.0,house,Marina Da Gama,592.0,2,1,2340000.0
5.0,house,Rylands,632.0,2,2,4300000.0
1.0,apartment,Green Point,63.0,1,1,4399000.0
4.0,house,Plumstead,545.0,3,4,2825000.0
0,apartment,Rondebosch,28.0,1,1,1195000.0
4.0,house,Plumstead,545.0,3,4,2825000.0
1.0,apartment,Cape Town City Centre,103.0,2,1,3500000.0
2.0,apartment,Waterfront,121.0,2.5,2,9995000.0
3.0,house,Zonnebloem,154.0,2,2,3500000.0
2.0,apartment,Pinelands,73.0,1,1,1595000.0
2.0,apartment,Vredehoek,60.0,1,1,2750000.0
2.0,apartment,Clifton,198.0,2,2,36900000.0
2.0,apartment,Green Point,80.0,1,1,3650000.0
